repoName,lastCommitter,link
EBSCOIS/platform.shared.ebsco-analytics.IVYY,svc-github-panorollo,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.IVYY/settings/access
EBSCOIS/platform.shared.ebsco-analytics.JJJ,kevinpowell1,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.JJJ/settings/access
EBSCOIS/platform.shared.ebsco-analytics.JKL,kevinpowell1,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.JKL/settings/access
EBSCOIS/platform.shared.ebsco-analytics.KPOW,kevinpowell1,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.KPOW/settings/access
EBSCOIS/platform.shared.ebsco-analytics.LLL,kevinpowell1,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.LLL/settings/access
EBSCOIS/platform.shared.ebsco-analytics.LMN,kevinpowell1,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.LMN/settings/access
EBSCOIS/platform.shared.ebsco-analytics.LMNO,kevinpowell1,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.LMNO/settings/access
EBSCOIS/platform.shared.ebsco-analytics.LMNOP,kevinpowell1,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.LMNOP/settings/access
EBSCOIS/platform.shared.ebsco-analytics.LOL,kevinpowell1,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.LOL/settings/access
EBSCOIS/platform.shared.ebsco-analytics.ls000,svc-github-panorollo,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.ls000/settings/access
EBSCOIS/platform.shared.ebsco-analytics.ls001,svc-github-panorollo,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.ls001/settings/access
EBSCOIS/platform.shared.ebsco-analytics.ls003,svc-github-panorollo,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.ls003/settings/access
EBSCOIS/platform.shared.ebsco-analytics.ls004,svc-github-panorollo,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.ls004/settings/access
EBSCOIS/platform.shared.ebsco-analytics.ls006,svc-github-panorollo,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.ls006/settings/access
EBSCOIS/platform.shared.ebsco-analytics.ls007,svc-github-panorollo,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.ls007/settings/access
EBSCOIS/platform.shared.ebsco-analytics.ls008,svc-github-panorollo,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.ls008/settings/access
EBSCOIS/platform.shared.ebsco-analytics.ls009,svc-github-panorollo,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.ls009/settings/access
EBSCOIS/platform.shared.ebsco-analytics.ls010,svc-github-panorollo,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.ls010/settings/access
